E1,116.687438,-26.695692,372.22,1654.37,845.05
E2,116.690855,-26.697635,373.70,1994.47,629.74
E3,116.6942,-26.694055,374.52,2327.42,1026.38
E4,116.693304,-26.699628,371.50,2238.17,408.81
E5,116.697929,-26.694909,373.23,2698.58,931.59
E6,116.697646,-26.698146,371.79,2670.33,572.92
E7,116.694988,-26.703104,369.35,2405.67,23.61
E8,116.701253,-26.693431,373.69,3029.46,1095.29
F1,116.678885,-26.710655,371.04,803.01,-812.85
F2,116.685604,-26.701698,369.24,1471.78,179.53
F3,116.682652,-26.709562,368.31,1177.92,-691.74
F4,116.68767,-26.707635,366.65,1677.27,-478.33
F5,116.686485,-26.711732,367.41,1559.38,-932.27
F6,116.689719,-26.704281,368.26,1881.27,-106.66
F7,116.693781,-26.70559,367.95,2285.48,-251.75
F8,116.690826,-26.711807,365.15,1991.31,-940.61
G1,116.672481,-26.712268,370.30,165.76,-991.57
G2,116.675954,-26.716739,368.75,511.31,-1486.98
G3,116.674217,-26.721963,365.99,338.49,-2065.83
G4,116.678913,-26.716032,367.88,805.81,-1408.62
G5,116.681927,-26.713602,370.54,1105.72,-1139.39
G6,116.680182,-26.721151,365.39,931.99,-1975.87
G7,116.684245,-26.720171,366.17,1336.34,-1867.29
G8,116.68754,-26.715554,365.88,1664.29,-1355.78
